CMD_ID,CMD_PKT_NAME,CMD_PKT_RELID,qry_icd_cmd_definitions_agg_spec_SHORT_DESCRIPTION,qry_icd_cmd_definitions_agg_spec_DESCRIPTION,SEQUENCE_NUMBER,AGGREGATE_SPEC_RELID,MAX_LENGTH,DATA_ITEM_RELID,CONSTRAINT_RELID,ENDIAN_RELID,DATA_ITEM_NAME,UNITS,DATA_TYPE_RELID,ARRAY_RELID,ENUM_RELID,ANALOG_RELID,data_item_SHORT_DESCRIPTION,data_item_DESCRIPTION,DATA_TYPE_NAME,NUM_BITS,ENDIAN_NAME,LOW_VALUE,HIGH_VALUE,ARRAY_NAME,NUM_DIMENSIONS,DIM_1_SIZE,DIM_2_SIZE,ANALOG_NAME,NUM_COEF,COEF_0,COEF_1
33,SCS_LIST_CONTROL,311,Internal stored command list control,"These commands direct the execution of an SCS command list to another list or list entry, or they allow a delay before execution of the next command in the current list.  These commands can only be executed from within an SCS.",50,11803,6,15104,,2,LIST_DELAY,s,14,,,,List Delay Time,The amount of time to delay before executing the command.  Positive values mean the time is absolute in GPS seconds.  Negative values mean the time is relative since the last command.,Int32,32,little_endian,,,,,,,,,,
35,SCS_THREAD_CONTROL,343,Control the execution of the stored command list.,Controls the execution of one of the 8 SCS command threads.  The SCS threads execute in parallel.,10,11835,7,15646,,2,CMD_THREAD_ID,,24,,4061,,Command Execution Context,,UInt8,8,little_endian,,,,,,,,,,
35,SCS_THREAD_CONTROL,343,Control the execution of the stored command list.,Controls the execution of one of the 8 SCS command threads.  The SCS threads execute in parallel.,20,11836,7,15648,,2,THREAD_CONTROL,,24,,4062,,Thread Control Information,,UInt8,8,little_endian,,,,,,,,,,
35,SCS_THREAD_CONTROL,343,Control the execution of the stored command list.,Controls the execution of one of the 8 SCS command threads.  The SCS threads execute in parallel.,30,11837,7,15106,1001,2,LIST_ENTRY,,24,,,,Entry number in list to execute,An index of commands into the list.  Commands in each list are enumerated 1 - 255.,UInt8,8,little_endian,1,255,,,,,,,,
35,SCS_THREAD_CONTROL,343,Control the execution of the stored command list.,Controls the execution of one of the 8 SCS command threads.  The SCS threads execute in parallel.,40,11838,7,15649,,2,THREAD_DELAY,s,14,,,,Delay time for thread,The amount of time to delay before executing the thread.  Positive values mean the time is absolute in GPS seconds.  Negative values mean the time is relative since the last command.,Int32,32,little_endian,,,,,,,,,,
36,SCS_SAVE,344,Save stored command sequence list,"Save the contents of the SCS list memory area to disk.  The saved data may be reloaded to memory with the SCS_LOAD command.  Each command list is saved in duplicate, with both files protected by a checksum.",10,11840,1,15660,1002,2,SCS_NUM,,24,,,,SCS List Number to Load/Save,The command lists are numbered 1 - 10.,UInt8,8,little_endian,1,10,,,,,,,,
37,SCS_LOAD,345,Load stored command sequence list,"Load the saved contents of an SCS list from disk to memory.  The contents must have been previously saved using the SCS_SAVE command.  Each command list is saved in duplicate, with both files protected by a checksum.  If one copy of the file is missing or corrupted, the second will be used.",10,11841,1,15660,1002,2,SCS_NUM,,24,,,,SCS List Number to Load/Save,The command lists are numbered 1 - 10.,UInt8,8,little_endian,1,10,,,,,,,,
45,AUTONOMY_CONTROL,981,Control Autonomy Rules,"Each Autonomy rule may be enabled or disabled individually, or the entire Autonomy module may be enabled or disabled to affect all rules.  Also, rule characteristics may be reset, and Autonomy rules 0, 1, and 2 may be saved and loaded from the NV config files.  Commands targeting a specific rule must provide the rule number in the ACTION parameter.",10,15601,3,19066,,2,CONTROL,,24,,3982,,The Autonomy control request,,UInt8,8,little_endian,,,,,,,,,,
45,AUTONOMY_CONTROL,981,Control Autonomy Rules,"Each Autonomy rule may be enabled or disabled individually, or the entire Autonomy module may be enabled or disabled to affect all rules.  Also, rule characteristics may be reset, and Autonomy rules 0, 1, and 2 may be saved and loaded from the NV config files.  Commands targeting a specific rule must provide the rule number in the ACTION parameter.",20,15602,3,19065,1005,2,RULE,,24,,,,The Autonomy rule number,This should provide the rule number (0 - 15) for those commands targeting only one rule.,UInt8,8,little_endian,0,15,,,,,,,,
45,AUTONOMY_CONTROL,981,Control Autonomy Rules,"Each Autonomy rule may be enabled or disabled individually, or the entire Autonomy module may be enabled or disabled to affect all rules.  Also, rule characteristics may be reset, and Autonomy rules 0, 1, and 2 may be saved and loaded from the NV config files.  Commands targeting a specific rule must provide the rule number in the ACTION parameter.",30,17042,3,20345,1004,2,NV_ENTRY,,24,,,,The NV entry to be copied from or copied to,"Select one of the three (0, 1, or 2) NV Autonomy entries to save or load.",UInt8,8,little_endian,0,2,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",10,15603,35,19065,1005,2,RULE,,24,,,,The Autonomy rule number,This should provide the rule number (0 - 15) for those commands targeting only one rule.,UInt8,8,little_endian,0,15,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",20,15604,35,19128,,2,DELTA_VALUE,,1,,4004,,Delta value calculation delta,,1BitUInt8,1,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",30,15641,35,19127,,2,EXECUTION_RATE,,1,,4003,,Execution rate,,1BitUInt8,1,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",40,15642,35,19126,,2,PERSISTENCE,,1,,4002,,Persistence,,1BitUInt8,1,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",50,15643,35,20325,,2,INIT_REL,,1,,4201,,Initialize for relative data,,1BitUInt8,1,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",60,15644,35,19125,,2,TRIGGER_TYPE,,4,,4001,,Trigger type,,4BitUInt8,4,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",70,15605,35,18579,,2,AUT_PERSISTENCE_COUNT,,24,,,,Autonomy - Persistence Count,,UInt8,8,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",80,15606,35,18581,,2,AUT_TLM_ITEM,,25,,,,Autonomy - Telemetry Item,Index into the global Telemetry Item list for the value to monitor.,UInt16,16,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",90,15621,35,19105,,2,FUNCTION,,24,,3981,,Predefined autonomous action,This value indicates what action the Autonomy module takes when the rules conditions have been met.,UInt8,8,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",100,15607,35,18583,,2,AUT_COMPARE,,14,,,,Autonomy - Compare Value,The value of the telemetry item which is compared against the current value to determine if a rule triggers,Int32,32,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",110,15608,35,18584,,2,AUT_TRIG_DELTA,,14,,,,Autonomy - Trigger Delta,,Int32,32,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",120,16161,35,19625,,2,TRIGGER_TIME_TO_EXE,s,26,,,,Time to delay between trigger and action execution,"When a rule telemetry item meets its condition, the autonomy module will wait this many seconds before actually taking the corrective action.",UInt32,32,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",122,17022,35,19626,,2,AUT_CMD_DEST,,24,,50,,Autonomy Command Destination Node,"For autonomy rules which execute a command, this is the command destination node ID value.",UInt8,8,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",124,17023,35,19627,,2,AUT_CMD_ID,,24,,,,Autonomy Command ID,"For autonomy rules which execute a command, this is the command ID value.",UInt8,8,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",126,17024,35,19628,,2,AUT_CMD_SUBID,,24,,,,Autonomy Command SubId,"For autonomy rules which execute a command, this is the command SubID value.",UInt8,8,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",128,17025,35,19629,,2,AUT_CMD_PARAM_LEN,bytes,24,,,,Autonomy Command Parameters Length,The number of bytes of command parameter data for the corrective action command.,UInt8,8,little_endian,,,,,,,,,,
46,AUTONOMY_DEFINE,982,Define Autonomy Rules,"This command allows for a new Autonomy rule to be defined dynamically or an existing rule to be overwritten.  The first three rules 0, 1, and 2 may be saved to NV config with the AUTONOMY_CONTROL command.  Other rules are statically defined in the FSW application, but they may be re-defined operationally in memory.",130,17021,35,19630,,2,AUT_CMD_PARAM_DATA,,24,1381,,,Autonomy Command Parameter Data,The raw data of the corrective action command parameters.,UInt8,8,little_endian,,,AUT_CMD_DATA_ARRAY,1,50,,,,,
48,MEM_ENTRY_MGNT,418,Manage the Flight Software Memory Characteristics Table,"Allows for the modification, insertion, or deletion of an entry from the Bus memory characteristics table.",10,12283,13,15707,,2,MEMORY_ENTRY,,24,,,,Memory Entry,The memory region ID.,UInt8,8,little_endian,,,,,,,,,,
48,MEM_ENTRY_MGNT,418,Manage the Flight Software Memory Characteristics Table,"Allows for the modification, insertion, or deletion of an entry from the Bus memory characteristics table.",20,12287,13,15710,,2,SPARE_7BITS,,192,,,,Spare 7 Bits,,7BitUInt8,7,little_endian,,,,,,,,,,
48,MEM_ENTRY_MGNT,418,Manage the Flight Software Memory Characteristics Table,"Allows for the modification, insertion, or deletion of an entry from the Bus memory characteristics table.",30,12284,13,15708,,2,STRUCT_FLAG,,1,,4,,Memory Entry Struct (Array) Flag,"If YES, the memory region is defined as an array of structures.  Otherwise treat the memory region as a single entity.",1BitUInt8,1,little_endian,,,,,,,,,,
48,MEM_ENTRY_MGNT,418,Manage the Flight Software Memory Characteristics Table,"Allows for the modification, insertion, or deletion of an entry from the Bus memory characteristics table.",50,12286,13,4300,,2,MEMORY_ABS_ADDR,,26,,,,The absolute address of the memory to use.,The Linux process virtual memory address of the start of the memory region.,UInt32,32,little_endian,,,,,,,,,,
48,MEM_ENTRY_MGNT,418,Manage the Flight Software Memory Characteristics Table,"Allows for the modification, insertion, or deletion of an entry from the Bus memory characteristics table.",60,12288,13,15711,,2,MEMORY_LENGTH,bytes,26,,,,Length of memory region in bytes.,The size in bytes of the memory region.,UInt32,32,little_endian,,,,,,,,,,
48,MEM_ENTRY_MGNT,418,Manage the Flight Software Memory Characteristics Table,"Allows for the modification, insertion, or deletion of an entry from the Bus memory characteristics table.",70,12289,13,15712,,2,STRUCTURE_LENGTH,bytes,24,,,,Length of structure (array element),The size in bytes of the memory region array element.  This value is ignored if STRUCT_FLAG is NO.,UInt8,8,little_endian,,,,,,,,,,
48,MEM_ENTRY_MGNT,418,Manage the Flight Software Memory Characteristics Table,"Allows for the modification, insertion, or deletion of an entry from the Bus memory characteristics table.",80,12290,13,15713,,2,MEMORY_AREA,,24,,85,,Memory Area ID,The memory area type.  Use value UNDEF to delete the memory region from the characteristics table.,UInt8,8,little_endian,,,,,,,,,,
48,MEM_ENTRY_MGNT,418,Manage the Flight Software Memory Characteristics Table,"Allows for the modification, insertion, or deletion of an entry from the Bus memory characteristics table.",90,12291,13,15714,,2,MEMORY_NODE,,24,,50,,Memory Node ID,The ID of the node owning the memory region.,UInt8,8,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,10,12301,11,15787,,2,TLM_AF_SELECT,,1,,3342,,TLM Report Management All/First subid flag,,1BitUInt8,1,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,20,12302,11,15788,,2,TLM_REP_STATUS_SELECT,,1,,3341,,TLM Report Management Status Flag,,1BitUInt8,1,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,30,12303,11,15789,,2,TLM_PRIO_SELECT,,1,,3341,,TLM Report Management Priority Flag,,1BitUInt8,1,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,40,12304,11,15790,,2,TLM_RATE_SELECT,,1,,3341,,TLM Report Management Rate Flag,,1BitUInt8,1,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,50,12305,11,15791,,2,TLM_REP_GROUP_SELECT,,1,,3341,,TLM Report Management Group Flag,,1BitUInt8,1,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,60,12306,11,15792,,2,TLM_ADJ_SELECT,,1,,3344,,TLM Report Management Adjust Flag,,1BitUInt8,1,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,70,12307,11,15793,,2,TLM_SELECT,,2,,3343,,TLM Report Management Select Flag,,2BitUInt8,2,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,80,12308,11,15794,,2,TLM_ENTRY,,25,,,,TLM Report Management Entry Index,,UInt16,16,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,90,12310,11,15796,,2,TLM_PKTID,,24,,,,TLM Report Management Packet ID,,UInt8,8,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,100,12311,11,15797,,2,TLM_SUBID,,24,,,,TLM Report Management Sub ID,,UInt8,8,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,110,12312,11,15798,,2,TLM_REP_STATUS,,24,,3261,,TLM Report Management Status,,UInt8,8,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,120,12314,11,15800,,2,TLM_PRIORITY,,24,,15,,TLM Report Management Priority,,UInt8,8,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,130,12315,11,15801,1782,2,TLM_RATE,,24,,,,TLM Report Management Rate,,UInt8,8,little_endian,0,7,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,140,12316,11,15802,,2,TLM_GROUP,,24,,,,TLM Report Management Group,,UInt8,8,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,150,12317,11,15137,,2,TLM_IF,,24,,50,,Telemetry Interface (node) Select,The target telemetry interface node for the command.  This This node must be registered to receive telemetry frames from the bus through the Bus Telemetry Stream  (#5) service.,UInt8,8,little_endian,,,,,,,,,,
49,TLM_REP_MGNT,421,Manage the Telemetry Packet Reporting Characteristics,,160,12318,11,15803,,2,TLM_SOURCE_NODE,,24,,50,,Telemetry Report Management Source Node ID,,UInt8,8,little_endian,,,,,,,,,,
51,TLM_TBL_RESET,423,Reset Telemetry,Resets the state of one or more functions reported in telemetry.  The TLM_RESET_TYPE parameter value determines which functions to reset.,10,12329,2,17167,,2,TLM_RESET_TYPE,,24,,3583,,Telemetry Reset Types,Indicates which telemetry function to reset.  Some options affect more than one function.,UInt8,8,little_endian,,,,,,,,,,
51,TLM_TBL_RESET,423,Reset Telemetry,Resets the state of one or more functions reported in telemetry.  The TLM_RESET_TYPE parameter value determines which functions to reset.,20,12330,2,15137,,2,TLM_IF,,24,,50,,Telemetry Interface (node) Select,The target telemetry interface node for the command.  This This node must be registered to receive telemetry frames from the bus through the Bus Telemetry Stream  (#5) service.,UInt8,8,little_endian,,,,,,,,,,
53,TLM_FRAME_CONTROL,682,Control Telemetry Frame Output,"Control the bandwidth of an interface sending telemetry frames through the Bus Telemetry Stream service (#5).  The RATIO_LOG_FILE and RATIO_PL_DATA parameter determines the ratio of FSW log and file dump telemetry to real-time telemetry and the ratio of Payload Downlink data to real-time telemetry.  If no dump or payload telemetry is available, then their bandwidth is allocated to real-time telemetry.  The current frame ratios are available in the TLMCB telemetry packet items LogFileRatio and PayloadDataRatio.",10,13644,3,17147,,2,RATIO_PL_DATA,,24,,,,Frame Payload Downlink / RT Ratio,The ratio of Payload Data Downlink telemetry frames to real-time telemetry frames.  Some real-time frame bandwidth is always available.,UInt8,8,little_endian,,,,,,,,,,
53,TLM_FRAME_CONTROL,682,Control Telemetry Frame Output,"Control the bandwidth of an interface sending telemetry frames through the Bus Telemetry Stream service (#5).  The RATIO_LOG_FILE and RATIO_PL_DATA parameter determines the ratio of FSW log and file dump telemetry to real-time telemetry and the ratio of Payload Downlink data to real-time telemetry.  If no dump or payload telemetry is available, then their bandwidth is allocated to real-time telemetry.  The current frame ratios are available in the TLMCB telemetry packet items LogFileRatio and PayloadDataRatio.",20,13645,3,17148,,2,RATIO_LOG_FILE,,24,,,,Frame Log or File Dump / RT Ratio,The ratio of FSW log or file dump telemetry frames to real-time telemetry frames.  Some real-time frame bandwidth is always available.,UInt8,8,little_endian,,,,,,,,,,
53,TLM_FRAME_CONTROL,682,Control Telemetry Frame Output,"Control the bandwidth of an interface sending telemetry frames through the Bus Telemetry Stream service (#5).  The RATIO_LOG_FILE and RATIO_PL_DATA parameter determines the ratio of FSW log and file dump telemetry to real-time telemetry and the ratio of Payload Downlink data to real-time telemetry.  If no dump or payload telemetry is available, then their bandwidth is allocated to real-time telemetry.  The current frame ratios are available in the TLMCB telemetry packet items LogFileRatio and PayloadDataRatio.",30,13646,3,15137,,2,TLM_IF,,24,,50,,Telemetry Interface (node) Select,The target telemetry interface node for the command.  This This node must be registered to receive telemetry frames from the bus through the Bus Telemetry Stream  (#5) service.,UInt8,8,little_endian,,,,,,,,,,
56,TLM_ITEM_DEF,961,"Delete, modify or add a summary telemetry item definition","The Telemetry Item function allows telemetry packets to be composed out of a combination of selected items defined in other memory regions.  Some Telemetry Item packets are defined in the FSW application, and this command allows for additional items to be dynamically defined.",10,15581,10,19050,,2,TLM_ITEM_ENTRY,,25,,,,Telemetry Item Entry,,UInt16,16,little_endian,,,,,,,,,,
56,TLM_ITEM_DEF,961,"Delete, modify or add a summary telemetry item definition","The Telemetry Item function allows telemetry packets to be composed out of a combination of selected items defined in other memory regions.  Some Telemetry Item packets are defined in the FSW application, and this command allows for additional items to be dynamically defined.",20,15582,10,19045,,2,PACKET,,24,,,,The telemetry summary packet number,,UInt8,8,little_endian,,,,,,,,,,
56,TLM_ITEM_DEF,961,"Delete, modify or add a summary telemetry item definition","The Telemetry Item function allows telemetry packets to be composed out of a combination of selected items defined in other memory regions.  Some Telemetry Item packets are defined in the FSW application, and this command allows for additional items to be dynamically defined.",30,15583,10,19046,,2,TYPE,,24,,60,,The type of telemetry item to be included in the summary telemetry packet,,UInt8,8,little_endian,,,,,,,,,,
56,TLM_ITEM_DEF,961,"Delete, modify or add a summary telemetry item definition","The Telemetry Item function allows telemetry packets to be composed out of a combination of selected items defined in other memory regions.  Some Telemetry Item packets are defined in the FSW application, and this command allows for additional items to be dynamically defined.",35,15587,10,19051,,2,SIZE,bytes,24,,,,Telemetry Item Size,,UInt8,8,little_endian,,,,,,,,,,
56,TLM_ITEM_DEF,961,"Delete, modify or add a summary telemetry item definition","The Telemetry Item function allows telemetry packets to be composed out of a combination of selected items defined in other memory regions.  Some Telemetry Item packets are defined in the FSW application, and this command allows for additional items to be dynamically defined.",40,15584,10,19047,,2,MEM_ID,,24,,,,Memory Region ID,,UInt8,8,little_endian,,,,,,,,,,
56,TLM_ITEM_DEF,961,"Delete, modify or add a summary telemetry item definition","The Telemetry Item function allows telemetry packets to be composed out of a combination of selected items defined in other memory regions.  Some Telemetry Item packets are defined in the FSW application, and this command allows for additional items to be dynamically defined.",50,15585,10,19048,,2,MEM_SUBID,,24,,,,Memory Region Sub-ID,,UInt8,8,little_endian,,,,,,,,,,
56,TLM_ITEM_DEF,961,"Delete, modify or add a summary telemetry item definition","The Telemetry Item function allows telemetry packets to be composed out of a combination of selected items defined in other memory regions.  Some Telemetry Item packets are defined in the FSW application, and this command allows for additional items to be dynamically defined.",60,15586,10,19049,,2,OFFSET,bytes,25,,,,Offset from start of selected memory area to where the telemetry item is located,,UInt16,16,little_endian,,,,,,,,,,
56,TLM_ITEM_DEF,961,"Delete, modify or add a summary telemetry item definition","The Telemetry Item function allows telemetry packets to be composed out of a combination of selected items defined in other memory regions.  Some Telemetry Item packets are defined in the FSW application, and this command allows for additional items to be dynamically defined.",70,15588,10,19052,,2,MEM_NODE,,24,,,,Memory Node ID,The node ID of the target memory region.,UInt8,8,little_endian,,,,,,,,,,
57,TLM_LOG_CONTROL,1021,Telemetry log control,Enable or disable logging of telemetry packets by the telemetry logging activity.,10,16181,2,19645,,2,LOG_CONTROL,,24,,4081,,The telemetry log control request,The telemetry log action to perform.  Options DISABLE_SELECTED and ENABLE_SELECTED require the telemetry log entry number in the LOG_ENTRY parameter.  Otherwise the action is global to the activity or all entries.,UInt8,8,little_endian,,,,,,,,,,
57,TLM_LOG_CONTROL,1021,Telemetry log control,Enable or disable logging of telemetry packets by the telemetry logging activity.,20,16182,2,19646,,2,LOG_ENTRY,,24,,4101,,The telemetry log entry,The target telemetry packet log entry.,UInt8,8,little_endian,,,,,,,,,,
58,TLM_LOG_DEFINE,1022,Telemetry log entry define,Setup a new telemetry packet to be logged by the telemetry logging activity.  Each of the 24 packets may be logged at a rate of up to once per second.,10,16201,6,19646,,2,LOG_ENTRY,,24,,4101,,The telemetry log entry,The target telemetry packet log entry.,UInt8,8,little_endian,,,,,,,,,,
58,TLM_LOG_DEFINE,1022,Telemetry log entry define,Setup a new telemetry packet to be logged by the telemetry logging activity.  Each of the 24 packets may be logged at a rate of up to once per second.,20,16202,6,19648,,2,SPARE_8BITS7,,192,,,,Spare,,7BitUInt8,7,little_endian,,,,,,,,,,
58,TLM_LOG_DEFINE,1022,Telemetry log entry define,Setup a new telemetry packet to be logged by the telemetry logging activity.  Each of the 24 packets may be logged at a rate of up to once per second.,30,16203,6,19649,,2,ENABLE,,1,,298,,Telemetry Log processing enable flag,,1BitUInt8,1,little_endian,,,,,,,,,,
58,TLM_LOG_DEFINE,1022,Telemetry log entry define,Setup a new telemetry packet to be logged by the telemetry logging activity.  Each of the 24 packets may be logged at a rate of up to once per second.,35,16207,6,19650,,2,NODEID,,24,,50,,TLM Packet Source Node,,UInt8,8,little_endian,,,,,,,,,,
58,TLM_LOG_DEFINE,1022,Telemetry log entry define,Setup a new telemetry packet to be logged by the telemetry logging activity.  Each of the 24 packets may be logged at a rate of up to once per second.,40,16204,6,15135,,2,PKTID,,24,,,,Telemetry Packet ID,,UInt8,8,little_endian,,,,,,,,,,
58,TLM_LOG_DEFINE,1022,Telemetry log entry define,Setup a new telemetry packet to be logged by the telemetry logging activity.  Each of the 24 packets may be logged at a rate of up to once per second.,50,16205,6,4401,,2,PKTSUBID,,24,,,,Alternate Telemetry Packet Sub-ID.,,UInt8,8,little_endian,,,,,,,,,,
58,TLM_LOG_DEFINE,1022,Telemetry log entry define,Setup a new telemetry packet to be logged by the telemetry logging activity.  Each of the 24 packets may be logged at a rate of up to once per second.,60,16206,6,19647,,2,LOG_RATE,s,25,,,,Number of seconds between log entries for this packet,The period in seconds between saving copies of this telemetry packet.,UInt16,16,little_endian,,,,,,,,,,
59,TLM_PRIO,1121,Telemetry Interface Priority,"Set the priority level for a Bus Telemetry Stream service (#5) interface.  Each telemetry packet has a priority.  If the priority a the packet is greater than or equal to the priority of the interface, the packet is considered for inclusion in the telemetry frames.  The TLM_REP_MGNT command may be used to set the priorities of the packets.  The current priority is available in the TLMCB telemetry packet item CurPriority.",10,17041,2,15136,,2,PRIORITY,,24,,15,,Telemetry Interface Priority,The new priority level for this telemetry stream interface.,UInt8,8,little_endian,,,,,,,,,,
59,TLM_PRIO,1121,Telemetry Interface Priority,"Set the priority level for a Bus Telemetry Stream service (#5) interface.  Each telemetry packet has a priority.  If the priority a the packet is greater than or equal to the priority of the interface, the packet is considered for inclusion in the telemetry frames.  The TLM_REP_MGNT command may be used to set the priorities of the packets.  The current priority is available in the TLMCB telemetry packet item CurPriority.",20,17043,2,15137,,2,TLM_IF,,24,,50,,Telemetry Interface (node) Select,The target telemetry interface node for the command.  This This node must be registered to receive telemetry frames from the bus through the Bus Telemetry Stream  (#5) service.,UInt8,8,little_endian,,,,,,,,,,
60,TLM_PLDD_CONTROL,1023,Telemetry Payload Data Downlink Control,,10,3000,2,3000,,2,PL_NODE,,24,,50,,Telemetry Payload Data Downlink Node Select,,UInt8,8,little_endian,,,,,,,,,,
